"","samples","ds","alphalogodds"
"706",160,0.775,0.00199685589284044
"707",170,0.775,0.0320258554056981
"708",180,0.775,0.0604898507169472
"709",190,0.775,0.0875461608878117
"710",200,0.775,0.113329165395467
"711",210,0.775,0.137954702249108
"712",220,0.775,0.161526712986308
"713",230,0.775,0.184125992963192
"714",240,0.775,0.205833645390764
"715",250,0.775,0.226718224982655
"716",260,0.775,0.246840039149621
"717",270,0.775,0.266250652819183
"718",280,0.775,0.28500336602419
"719",290,0.775,0.303138805738322
"720",300,0.775,0.320698420094395
"721",10,0.8,-1.27693241463441
"722",20,0.8,-1.0298324622484
"723",30,0.8,-0.875437285893369
"724",40,0.8,-0.759762776544366
"725",50,0.8,-0.666301124651439
"726",60,0.8,-0.587501071133778
"727",70,0.8,-0.519195400973629
"728",80,0.8,-0.458812226277739
"729",90,0.8,-0.404650208465212
"730",100,0.8,-0.355503553639471
"731",110,0.8,-0.310498882721703
"732",120,0.8,-0.268975457687298
"733",130,0.8,-0.23042010638584
"734",140,0.8,-0.194432384969067
"735",150,0.8,-0.160681604792054
"736",160,0.8,-0.128902465997891
"737",170,0.8,-0.098873466485033
"738",180,0.8,-0.0704094711737839
"739",190,0.8,-0.0433531610029195
"740",200,0.8,-0.0175701564952638
"741",210,0.8,0.007055380358377
"742",220,0.8,0.0306273910955767
"743",230,0.8,0.053226671072461
"744",240,0.8,0.0749343235000325
"745",250,0.8,0.0958189030919242
"746",260,0.8,0.11594071725889
"747",270,0.8,0.135351330928452
"748",280,0.8,0.154104044133459
"749",290,0.8,0.172239483847591
"750",300,0.8,0.189799098203664
"751",10,0.825,-1.41545240609943
"752",20,0.825,-1.16835245371342
"753",30,0.825,-1.01395727735839
"754",40,0.825,-0.898282768009384
"755",50,0.825,-0.804821116116456
"756",60,0.825,-0.726021062598795
"757",70,0.825,-0.657715392438647
"758",80,0.825,-0.597332217742756
"759",90,0.825,-0.543170199930229
"760",100,0.825,-0.494023545104488
"761",110,0.825,-0.44901887418672
"762",120,0.825,-0.407495449152315
"763",130,0.825,-0.368940097850857
"764",140,0.825,-0.332952376434085
"765",150,0.825,-0.299201596257071
"766",160,0.825,-0.267422457462908
"767",170,0.825,-0.23739345795005
"768",180,0.825,-0.208929462638801
"769",190,0.825,-0.181873152467937
"770",200,0.825,-0.156090147960281
"771",210,0.825,-0.13146461110664
"772",220,0.825,-0.10789260036944
"773",230,0.825,-0.0852933203925561
"774",240,0.825,-0.0635856679649847
"775",250,0.825,-0.042701088373093
"776",260,0.825,-0.0225792742061274
"777",270,0.825,-0.00316866053656528
"778",280,0.825,0.0155840526684417
"779",290,0.825,0.0337194923825741
"780",300,0.825,0.0512791067386467
"781",10,0.85,-1.56466096379595
"782",20,0.85,-1.31756101140993
"783",30,0.85,-1.1631658350549
"784",40,0.85,-1.0474913257059
"785",50,0.85,-0.95402967381297
"786",60,0.85,-0.875229620295309
"787",70,0.85,-0.80692395013516
"788",80,0.85,-0.74654077543927
"789",90,0.85,-0.692378757626743
"790",100,0.85,-0.643232102801003
"791",110,0.85,-0.598227431883234
"792",120,0.85,-0.556704006848829
"793",130,0.85,-0.518148655547371
"794",140,0.85,-0.482160934130599
"795",150,0.85,-0.448410153953586
"796",160,0.85,-0.416631015159422
"797",170,0.85,-0.386602015646564
"798",180,0.85,-0.358138020335315
"799",190,0.85,-0.331081710164451
"800",200,0.85,-0.305298705656795
"801",210,0.85,-0.280673168803154
"802",220,0.85,-0.257101158065954
"803",230,0.85,-0.23450187808907
"804",240,0.85,-0.212794225661499
"805",250,0.85,-0.191909646069607
"806",260,0.85,-0.171787831902641
"807",270,0.85,-0.152377218233079
"808",280,0.85,-0.133624505028072
"809",290,0.85,-0.11548906531394
